source_seed,candidate_id,mode,P_effective,bDstsp,bvis,n_visited_full,n_visited_cut
29,1,symbol,3,7.768908977508545,3,4,3
21,2,symbol,3,7.593921661376953,5,5,5
26,1,symbol,3,9.327818870544434,5,5,1
14,3,symbol,3,4.052429676055908,5,5,5
18,2,symbol,3,13.225106239318848,4,5,1
24,2,symbol,3,4.337145805358887,5,6,5
13,4,symbol,3,12.375551223754885,5,5,5
25,2,symbol,3,8.187272071838379,4,5,1
18,3,symbol,3,13.470175743103027,5,5,5
26,2,symbol,3,7.461699485778809,3,3,3
15,4,symbol,3,2.628126382827759,5,5,5
14,4,symbol,3,11.344426155090332,4,4,4
28,2,symbol,3,3.905336141586304,5,5,5
10,5,symbol,3,7.411429405212402,3,4,3
21,3,symbol,3,9.22600269317627,5,5,5
29,2,symbol,3,4.536288738250732,5,5,5
22,3,symbol,3,7.921197414398193,3,3,3
17,3,symbol,3,13.11359405517578,4,5,5
24,3,symbol,3,2.686767101287842,5,5,5
13,5,symbol,3,10.937044143676758,5,5,5
25,3,symbol,3,13.144815444946287,5,5,5
18,4,symbol,3,6.083871841430664,3,3,3
26,3,symbol,3,9.649585723876951,3,3,1
15,5,symbol,3,6.314580917358398,5,5,5
24,4,symbol,3,4.900181770324707,5,6,5
18,5,symbol,3,6.069258689880371,1,2,1
17,4,symbol,3,9.827860832214355,3,3,1
22,4,symbol,3,3.277825355529785,5,5,5
26,4,symbol,3,12.178899765014648,5,5,5
25,4,symbol,3,10.399413108825684,4,5,2
17,5,symbol,3,9.79626750946045,3,6,6
24,5,symbol,3,3.7635464668273926,5,6,5
22,5,symbol,4,4.009824275970459,5,5,5
25,5,symbol,3,13.600625991821287,4,4,4
26,5,symbol,3,11.825812339782717,5,5,5
6,11,symbol,4,11.189213752746582,4,5,3
11,7,symbol,3,11.444334983825684,5,5,5
10,6,symbol,3,4.355761528015137,5,6,5
10,9,symbol,3,3.756321430206299,5,6,5
10,10,symbol,3,5.981752395629883,4,5,4
10,11,symbol,3,4.493052005767822,5,6,5
13,6,symbol,3,1.6442962884902954,5,5,5
13,7,symbol,3,2.4738900661468506,5,5,5
15,6,symbol,3,8.706369400024414,3,4,3
18,7,symbol,3,8.896089553833008,5,5,5
18,6,symbol,3,4.665915966033936,5,6,5
24,7,symbol,3,6.146064758300781,3,4,3
24,6,symbol,3,8.642684936523438,3,5,4
25,7,symbol,3,10.683204650878906,5,5,3
22,7,symbol,4,7.896971702575684,5,5,5
22,6,symbol,4,3.22879409790039,5,5,5
26,6,symbol,3,11.608415603637695,3,3,3
26,7,symbol,3,11.996792793273926,5,5,1
26,8,symbol,3,10.74094009399414,5,5,5
