time,x1,x2,x3,parent_symbol,projected_symbol
38609,-0.933158,-0.756216,0.239517,1011,2
38610,-0.953482,-0.755446,0.360327,1011,2
38611,-0.973016,-0.753695,0.481268,1011,2
38612,-0.991395,-0.750996,0.602199,1011,2
38613,-1.008381,-0.747375,0.722872,1011,2
38614,-1.023939,-0.742841,0.843020,1011,2
38615,-1.038202,-0.737386,0.962415,1011,2
38616,-1.051333,-0.730986,1.080890,1011,2
38617,-1.063407,-0.723615,1.198310,1011,2
38618,-1.074359,-0.715258,1.314540,1011,2
38619,-1.084034,-0.705917,1.429411,1011,2
38620,-1.092279,-0.695606,1.542725,1011,2
38621,-1.099017,-0.684345,1.654275,1011,2
38622,-1.104261,-0.672147,1.763869,1011,2
38623,-1.108066,-0.659021,1.871348,1011,2
38624,-1.110473,-0.644972,1.976574,1011,2
38625,-1.111460,-0.630007,2.079417,1011,2
38626,-1.110956,-0.614141,2.179737,979,2
38627,-1.108856,-0.597395,2.277369,979,2
38628,-1.105057,-0.579799,2.372111,979,2
38629,-1.099662,-0.561374,2.463788,979,2
38630,-1.092804,-0.542133,2.552309,979,2
38631,-1.084529,-0.522084,2.637619,1011,2
38632,-1.074730,-0.501245,2.719650,1011,2
38633,-1.063144,-0.479654,2.798247,1011,2
38634,-1.049646,-0.457354,2.873192,1011,2
38635,-1.034307,-0.434384,2.944299,1011,2
38636,-1.017314,-0.410764,3.011443,1011,2
38637,-0.998839,-0.386508,3.074554,1011,2
38638,-0.978938,-0.361626,3.133583,1011,2
38639,-0.957547,-0.336144,3.188464,1011,2
38640,-0.934548,-0.310096,3.239097,1011,2
38641,-0.909861,-0.283527,3.285359,1011,2
38642,-0.883498,-0.256480,3.327128,1011,2
38643,-0.855553,-0.228990,3.364311,1011,2
38644,-0.826137,-0.201086,3.396845,1011,2
38645,-0.795327,-0.172794,3.424689,1011,2
38646,-0.763136,-0.144143,3.447802,1010,2
38647,-0.729985,-0.115489,3.466145,1010,2
38648,-0.696414,-0.086675,3.479672,1010,2
38649,-0.662493,-0.057649,3.488623,1010,2
38650,-0.627942,-0.028477,3.493196,1010,2
38651,-0.592408,0.000755,3.493414,1010,2
38652,-0.555699,0.029966,3.489170,1010,2
38653,-0.517895,0.059098,3.480333,1010,2
38654,-0.479283,0.088120,3.466835,1010,2
38655,-0.440187,0.117027,3.448694,1010,2
38656,-0.400795,0.145819,3.425984,1010,2
38657,-0.361104,0.174481,3.398780,1010,2
38658,-0.320987,0.202977,3.367111,1010,2
38659,-0.280333,0.231255,3.330966,1010,2
38660,-0.239150,0.259258,3.290322,1010,2
38661,-0.197574,0.286942,3.245185,1010,2
38662,-0.155798,0.314276,3.195610,1010,2
38663,-0.113966,0.341237,3.141692,1010,2
38664,-0.072125,0.367801,3.083537,1010,2
38665,-0.030238,0.393932,3.021229,1010,2
38666,0.011748,0.419587,2.954831,1010,2
38667,0.053830,0.444719,2.884389,1010,2
38668,0.095927,0.469286,2.809964,1010,2
38669,0.137911,0.493256,2.731644,1010,2
38670,0.179665,0.516601,2.649543,1010,2
38671,0.221119,0.539298,2.563788,1010,2
38672,0.262258,0.561317,2.474503,1010,2
38673,0.303088,0.582625,2.381797,1010,2
38674,0.343597,0.603186,2.285772,1010,2
38675,0.383730,0.622965,2.186534,1010,2
38676,0.423398,0.641933,2.084203,1010,2
38677,0.462507,0.660068,1.978917,1010,2
38678,0.500988,0.677348,1.870825,1010,2
38679,0.538803,0.693751,1.760077,1010,2
38680,0.575931,0.709253,1.646819,754,2
38681,0.612200,0.723820,1.531206,754,2
38682,0.647173,0.737430,1.413442,754,2
38683,0.681042,0.750133,1.293756,754,2
38684,0.714238,0.761907,1.172313,754,2
38685,0.747072,0.772675,1.049178,738,2
38686,0.779519,0.782402,0.924396,738,2
38687,0.811360,0.791184,0.798102,738,2
38688,0.842585,0.798977,0.670501,738,2
38689,0.873168,0.805762,0.541812,738,2
38690,0.903103,0.811517,0.412235,738,2
38691,0.932375,0.816227,0.281942,738,2
38692,0.960941,0.819878,0.151088,738,2
38693,0.988724,0.822468,0.019825,738,2
38694,1.015632,0.823995,-0.111687,738,2
38695,1.041570,0.824461,-0.243281,738,2
38696,1.066459,0.823869,-0.374783,738,2
38697,1.090234,0.822222,-0.506020,738,2
38698,1.112841,0.819521,-0.636824,738,2
38699,1.134228,0.815770,-0.767030,738,2
38700,1.154345,0.810974,-0.896478,738,2
38701,1.173135,0.805137,-1.025005,738,2
38702,1.190546,0.798268,-1.152449,738,2
38703,1.206527,0.790372,-1.278647,738,2
38704,1.221031,0.781460,-1.403437,738,2
38705,1.234022,0.771541,-1.526659,738,2
38706,1.245463,0.760626,-1.648157,738,2
38707,1.255322,0.748727,-1.767776,738,2
38708,1.263567,0.735855,-1.885365,738,2
38709,1.270170,0.722026,-2.000774,738,2
38710,1.275103,0.707255,-2.113856,738,2
38711,1.278343,0.691557,-2.224466,738,2
38712,1.279868,0.674950,-2.332460,738,2
38713,1.279663,0.657451,-2.437701,738,2
38714,1.277712,0.639081,-2.540051,738,2
38715,1.274005,0.619858,-2.639378,738,2
38716,1.268530,0.599805,-2.735553,738,2
38717,1.261283,0.578944,-2.828450,738,2
38718,1.252257,0.557297,-2.917948,738,2
